"COMPANY NAME","TYPE OF LASER","NAME OF TYPE OF LASER","UPPER LIP","CHIN","LOWER FACE/ FULL BEARD","FOREHEAD","BROW SHAPING","ABDOMEN","CHEST","BACK","UPPER ARMS","LOWER ARMS","FULL ARMS","UNDERARMS","THIGHS/UPPER LEG","LOWER LEGS","FULL LEGS","BIKINI AREA","FULL BODY","","","","","","",""
"Cosmocare Dermatology PRP Therapy & STD Clinic Dubai","Hair removal","(not yet determined)","","","","","","","","","","","","","","","","","","","","","","","",""
"Dermaline Skin & Laser Clinic ","Hair removal","(not yet determined)","","","","","","","","","","","","","","","","","","","","","","","",""
"Cosmo Secrets Medical Centre","Hair removal","(not yet determined)","","","","","","","","","","","","","","","","","","","","","","","",""
"AIG Clinics Jumeirah - Plastic Surgery Dubai ","Hair removal","Nd-YAG","","","","","","","","","","","","","","","","","","","","","","","",""
"KindCare Medical Center ","Hair removal","(not yet determined)","","","","","","","","","","","","","","","","","","","","","","","",""
"Canadian Medical Cosmetic Center","Hair removal","(not yet determined)","","","","","","","","","","","","","","","","","","","","","","","",""
"Art of Beauty Center","Hair removal","IPL (Intense Pulse Light)","250","","","","","","","450","450","450","600","450","800","700","1300","550","3500","","","","","","",""
"Borna Medical Spa Laser Center branch","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Montreal International Clinics","Hair removal","Nd-YAG","","","","","","","","","","","","","","","","","","","","","","","",""
"OCP Medical Center L.L.C.","Hair removal","Lightsheer®","150","150","400","150","","650","650","1100","450","450","650","400","650","650","1100","400","men-2200, women-2000","","","","","","",""
"Drs. Hadi & Hofmann Medical Center ","Hair removal","Lightsheer®","","","","","","","","","","","","","","","","","","","","","","","",""
"Minal Specialised Clinic Dermatology","Hair removal","Nd-YAG","","","","","","","","","","","","","","","","","","","","","","","",""
"Bodyworx Medical Center ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dew Derm Aesthetics & Dermatology","Hair removal","(not yet determined)","","","","","","","","","","","","","","","","","","","","","","","",""
"Harley Street Medical Centre - Abu Dhabi","Hair removal","(not yet determined)","","","","","","","","","","","","","","","","","","","","","","","",""
"Visage Polyclinic","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Archer Dental and Dermatology Center LLC","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Corpofino Dermatology Clinic","","","","","","","","","","","","","","","","","","","","","","","","","",""
